#Omega,#Phase Shift,#Uncertainty
#rad/second,#radians,#radians
31.41592654,0.162106181,0.005026548
62.83185307,0.28651325,0.015707963
94.24777961,0.448619431,0.023561945
125.6637061,0.537840662,0.031415927
188.4955592,0.742672503,0.04712389
314.1592654,0.992743279,0.078539816
471.238898,1.168672467,0.058904862
628.3185307,1.281769803,0.078539816
942.4777961,1.349628204,0.09424778
1256.637061,1.447645895,0.125663706
1570.796327,1.470265362,0.188495559
1884.955592,1.500424651,0.09424778
2356.19449,1.555088364,0.117809725
2827.433388,1.56074323,0.141371669
3141.592654,1.595929068,0.012566371
4712.38898,1.639911365,0.188495559
6283.185307,1.608495439,0.314159265
9424.777961,1.715309589,0.471238898
12566.37061,1.859822851,0.502654825
15707.96327,2.010619298,0.628318531
18849.55592,2.073451151,0.942477796
31415.92654,2.161415746,0.628318531
47123.8898,2.375044046,0.942477796
62831.85307,2.010619298,1.256637061
