#Vd,#I,#sigmaI
#Volts,#Amps,#Amps
0.5651,0.00041081,2.67E-07
0.5632,0.00039649,2.61E-07
0.5631,0.00039446,2.60E-07
0.5629,0.00038877,2.58E-07
0.5613,0.00038125,2.55E-07
0.5608,0.00037262,2.52E-07
0.5596,0.00036469,2.48E-07
0.5587,0.00035667,2.45E-07
0.5576,0.00034813,2.42E-07
0.5566,0.00034031,2.39E-07
0.5554,0.00033229,2.35E-07
0.5545,0.00032518,2.33E-07
0.5526,0.00031654,2.29E-07
0.5518,0.00030821,2.26E-07
0.5506,0.00029998,2.22E-07
0.549,0.00029247,2.19E-07
0.5481,0.00028454,2.16E-07
0.5466,0.00027662,2.13E-07
0.5452,0.00026829,2.10E-07
0.5443,0.00025986,2.06E-07
0.5423,0.00025186,2.03E-07
0.5414,0.0002437,2.00E-07
0.5392,0.00023568,1.96E-07
0.5373,0.00022745,1.93E-07
0.536,0.00021963,1.90E-07
0.5345,0.0002113,1.87E-07
0.5322,0.00020317,1.83E-07
0.5305,0.00019504,1.80E-07
0.5282,0.00018692,1.77E-07
0.5261,0.00017889,1.73E-07
0.5243,0.00017066,1.70E-07
0.5216,0.00016223,1.67E-07
0.519,0.00015441,1.64E-07
0.5173,0.00014628,1.60E-07
0.514,0.00013816,1.57E-07
0.5113,0.00013003,1.54E-07
0.5079,0.000122,1.51E-07
0.5051,0.00011357,1.47E-07
0.502,0.00010565,1.44E-07
0.4981,0.00009742,1.41E-07
0.4934,0.0000894,1.37E-07
0.4885,0.00008107,1.34E-07
0.4839,0.00007324,1.31E-07
0.4781,0.00006501,1.28E-07
0.4717,0.00005679,1.24E-07
0.46458,0.00004876,1.21E-07
0.45634,0.00004063,1.18E-07
0.44562,0.00003251,1.15E-07
0.43153,0.00002428,1.11E-07
0.40969,0.00001585,1.08E-07
0.39089,0.00000589,1.04E-07
0.37739,0.00000813,1.05E-07
0.005804,0.00000061,-1.01E-07
-0.007811,0.00000081,1.02E-07
-0.57645,0.00000284,-1.00E-07
-1.3682,0.00000335,-1.00E-07
-2.1618,0.00000376,-1.00E-07
-2.9678,0.00000406,-1.00E-07
-3.793,0.00000437,-9.98E-08
-4.4456,0.00000447,-9.98E-08
-4.9719,0.00000477,-9.97E-08
