#Frequency,#Vout/Vin,#Uncertainty
#Hz,#None,#None
100,97.185,0.0003
1000,96.44833333,0.0001
2000,93.98166667,0.0001
3000,90.12,0.0001
3500,87.79666667,0.0001
4500,82.64666667,0.0002
5000,79.92666667,0.0002
5500,77.17,0.0001
6000,74.42833333,0.0001
7000,69.095,0.0001
8000,64.09833333,0.0001
9000,59.52833333,0.0001
10000,55.39166667,0.0001
10500,53.46666667,0.0001
11000,51.64833333,0.00005
12000,48.295,0.00005
13000,45.29333333,0.0001
14000,42.60333333,0.0001
16000,38.00333333,0.0001
17500,35.11333333,0.0001
19000,32.60666667,0.0001
21000,29.75333333,0.0001
24500,25.76666667,0.00005
28000,22.7,0.00005
31500,20.27333333,0.00005
35000,18.305,0.00005
38500,16.69316667,0.0001
42000,15.33066667,0.00001
45500,14.1735,0.00001
49000,13.1765,0.00001
52500,12.31016667,0.00001
56000,11.55016667,0.00001
59500,10.87816667,0.00001
63000,10.27766667,0.00001
66500,9.741333333,0.00001
70000,9.256333333,0.00001
73500,8.819,0.00001
77000,8.421,0.00001
80500,8.058,0.00001
84000,7.7245,0.00001
87500,7.417333333,0.00001
91000,7.1335,0.00001
94500,6.870666667,0.00001
98000,6.626166667,0.00001
100000,6.4945,0.00001
